Source	Cluster	RA_ICRS	DE_ICRS	Gmag	plx	e_plx
   3307131900322333312	Hyades  	065.33283	+12.04386	14.701	21.081	 0.042
   3306722607119077120	Hyades  	068.43778	+12.71115	14.262	21.128	 0.023
   3306856541379219456	Hyades  	065.60755	+11.30567	 9.353	23.886	 0.066
   3303530209469039616	Hyades  	061.85266	+10.74058	16.240	21.272	 0.042
   3303984513928122752	Hyades  	063.20865	+11.24619	15.497	24.910	 0.046
   3407518510233429248	Hyades  	075.77987	+19.01783	11.212	18.738	 0.008
   3309420014084185600	Hyades  	068.46962	+14.85077	15.225	21.892	 0.062
   3405865089559635968	Hyades  	071.52210	+15.88988	15.115	18.156	 0.046
   3309336867813205760	Hyades  	068.52255	+14.21748	11.633	18.227	 0.012
   3309513270709857920	Hyades  	068.58800	+14.85470	16.065	16.065	 0.173
   3309419984020071552	Hyades  	068.46262	+14.84432	 4.545	21.692	 0.219
   3309611539560293632	Hyades  	070.43859	+14.89941	19.564	22.079	 0.132
     36629890579758592	Hyades  	058.14384	+11.26075	12.626	28.593	 0.012
    119219294181874048	Hyades  	050.63270	+28.97455	13.858	20.868	 0.015
    154422804645274368	Hyades  	072.49202	+27.20991	14.126	24.183	 0.024
   3306247446297683072	Hyades  	069.31108	+11.32407	14.675	19.324	 0.029
   3305860933600191872	Hyades  	067.81617	+10.70424	13.631	21.596	 0.069
   3305871825637254912	Hyades  	067.73867	+10.75172	 6.905	21.488	 0.029
   3305860933598991104	Hyades  	067.81548	+10.70333	17.622	21.444	 0.120
   3305881652522411520	Hyades  	067.83202	+10.92374	14.884	23.154	 0.054
   3306016372760404992	Hyades  	066.18385	+10.77200	12.990	20.435	 0.028
    149476479789791488	Hyades  	065.47175	+24.24029	13.665	20.464	 0.070
    149313099234711680	Hyades  	065.87711	+24.40522	 7.050	18.182	 0.002
    149543000243089024	Hyades  	065.25316	+24.51861	13.586	20.321	 0.017
    149327461604162688	Hyades  	066.76357	+24.10417	14.621	21.204	 0.034
   3295883999449691264	Hyades  	070.37029	+12.00928	12.023	21.185	 0.011
   3295878703753707136	Hyades  	070.51931	+11.92042	12.467	19.020	 0.024
   3296045077903829888	Hyades  	071.72077	+12.88377	13.831	20.635	 0.028
    147232651433766528	Hyades  	070.85358	+24.29645	12.921	20.514	 0.033
    147258180719392512	Hyades  	071.68808	+24.61091	16.848	23.857	 0.040
   3412605297699792512	Hyades  	071.78768	+20.88210	 9.477	23.640	 0.032
    169163647804297216	Hyades  	062.43307	+31.92991	17.395	23.622	 0.036
   3411031385460853248	Hyades  	070.62666	+20.45301	12.155	20.410	 0.031
   3411128795318922496	Hyades  	070.74407	+20.60467	13.791	19.412	 0.056
   3338650225766660992	Hyades  	079.06628	+09.44658	14.274	18.570	 0.029
   3285426613077584384	Hyades  	068.02052	+05.41007	 6.251	23.072	 0.034
    147469115153030528	Hyades  	071.98250	+25.57953	13.517	19.630	 0.007
    147710938992084096	Hyades  	069.22630	+24.49873	15.709	17.467	 0.057
     48203487411427456	Hyades  	065.05455	+19.23333	 7.312	21.664	 0.037
     48190739948429184	Hyades  	065.45714	+19.48556	16.667	25.809	 0.219
     48061409893621248	Hyades  	067.15554	+19.74053	 8.430	20.665	 0.040
     46975436002187136	Hyades  	062.67706	+18.42312	 6.487	21.264	 0.044
   3310615565476268032	Hyades  	065.22014	+13.86437	 6.033	20.965	 0.092
   3311038666998173184	Hyades  	065.84973	+14.42785	13.577	20.320	 0.119
   3310903740601986432	Hyades  	066.94643	+14.41767	 9.212	20.251	 0.004
   3310702770492165120	Hyades  	064.83450	+14.31635	11.991	20.738	 0.015
   3310814886318365568	Hyades  	066.13186	+13.92855	15.115	22.041	 0.032
   3310820624394671488	Hyades  	065.97723	+14.05202	10.362	23.106	 0.029
   3311000119668435200	Hyades  	065.51516	+14.07711	 5.630	21.945	 0.063
   3310640648085373824	Hyades  	064.44921	+13.66171	11.770	21.052	 0.036
   3310569798304869888	Hyades  	064.69650	+13.36623	11.270	21.730	 0.034
   3311024789960504576	Hyades  	065.39544	+14.40971	 6.482	20.466	 0.030
   3310634944368705664	Hyades  	064.99095	+14.03512	 5.497	22.009	 0.013
   3310857011357831936	Hyades  	066.85087	+14.11857	14.492	22.341	 0.069
   3311102820926310784	Hyades  	065.39668	+14.69516	14.314	20.333	 0.026
   3409827214070099840	Hyades  	072.14622	+18.72891	14.742	20.540	 0.026
   3409867964719693824	Hyades  	071.56393	+18.77463	14.276	22.998	 0.153
   3409968703177094656	Hyades  	072.67914	+19.30405	15.481	20.859	 0.055
   3409875592581586944	Hyades  	071.54063	+18.95761	17.696	20.395	 0.088
   3409855590918757760	Hyades  	071.98696	+19.02456	13.188	18.349	 0.081
   3409959567782077184	Hyades  	072.36833	+19.27722	15.094	20.061	 0.021
   3409855590918086400	Hyades  	071.98634	+19.02376	12.553	18.511	 0.057
   3284773915487855488	Hyades  	062.83515	+05.52308	 5.607	26.664	 0.059
   3239389683266590208	Hyades  	075.20401	+04.73315	 9.446	19.219	 0.028
   3392546632197477248	Hyades  	075.55638	+14.71012	18.931	20.809	 0.225
   3392628893706422272	Hyades  	074.09610	+14.10102	16.460	16.717	 0.026
   3392664627834274688	Hyades  	074.49114	+14.45190	14.398	20.726	 0.024
   3419656057748048512	Hyades  	073.95477	+24.36249	13.760	19.387	 0.018
   3406823245223942528	Hyades  	072.26508	+18.64108	 8.747	21.848	 0.027
   3406943091991364608	Hyades  	073.09841	+18.99676	 9.932	19.673	 0.002
   3309956850635519488	Hyades  	069.02237	+15.68390	 9.134	19.953	 0.036
   3309978501567767808	Hyades  	069.61595	+16.00291	17.050	21.058	 0.102
   3309918646903563264	Hyades  	069.74412	+15.66135	16.751	20.820	 0.064
   3309974344039455488	Hyades  	069.54442	+15.82139	14.415	21.018	 0.028
   3308269757418376576	Hyades  	068.95256	+13.28797	13.636	20.306	 0.024
   3308127405023027328	Hyades  	070.37408	+13.22113	10.489	22.633	 0.019
   3308403897837092992	Hyades  	070.09991	+13.97932	14.932	21.708	 0.030
    146989143968434688	Hyades  	071.79108	+24.01982	11.506	21.674	 0.025
     56447041481918720	Hyades  	054.38971	+17.85391	11.696	25.773	 0.036
     56447037184877824	Hyades  	054.39203	+17.85000	12.093	25.635	 0.007
   3299441950357981696	Hyades  	064.73296	+09.39631	14.753	22.170	 0.044
   3300934223858467072	Hyades  	063.64361	+10.70136	 6.966	22.289	 0.031
     46458115782368384	Hyades  	059.81319	+16.66431	14.344	23.870	 0.023
    218783542413339648	Hyades  	058.00053	+34.12417	15.202	23.570	 0.015
   3313541056680391296	Hyades  	065.92950	+15.88081	13.575	22.356	 0.012
   3313665885609887744	Hyades  	066.77716	+16.43010	16.562	21.720	 0.055
